RegionID,Stock_Market,Mortgage_Rate,Monthly_Supply_Of_Homes,Median_Price_Range
394492,2412.800049,6.03,10.3,150k - 175k
394705,2412.800049,6.03,10.3,100k - 125k
395059,2412.800049,6.03,10.3,650k - 700k
394355,2412.800049,6.03,10.3,175k - 200k
395194,2412.800049,6.03,10.3,200k - 225k
394902,2412.800049,6.03,10.3,150k - 175k
395005,2412.800049,6.03,10.3,225k - 250k
394862,2412.800049,6.03,10.3,175k - 200k
394714,2412.800049,6.03,10.3,175k - 200k
394849,2412.800049,6.03,10.3,125k - 150k
394935,2412.800049,6.03,10.3,100k - 125k
394807,2412.800049,6.03,10.3,125k - 150k
394669,2412.800049,6.03,10.3,225k - 250k
395022,2412.800049,6.03,10.3,200k - 225k
394910,2412.800049,6.03,10.3,150k - 175k
394425,2412.800049,6.03,10.3,100k - 125k
395012,2412.800049,6.03,10.3,175k - 200k
394388,2412.800049,6.03,10.3,150k - 175k
395053,2412.800049,6.03,10.3,225k - 250k
395031,2412.800049,6.03,10.3,100k - 125k
394640,2412.800049,6.03,10.3,125k - 150k
395167,2412.800049,6.03,10.3,200k - 225k
753924,2412.800049,6.03,10.3,450k - 500k
395169,2412.800049,6.03,10.3,100k - 125k
394619,2412.800049,6.03,10.3,250k - 275k
395238,2412.800049,6.03,10.3,225k - 250k
394415,2412.800049,6.03,10.3,400k - 450
394312,2412.800049,6.03,10.3,175k - 200k
394308,2412.800049,6.03,10.3,175k - 200k
394938,2412.800049,6.03,10.3,125k - 150k
394908,2412.800049,6.03,10.3,225k - 250k
394357,2412.800049,6.03,10.3,200k - 225k
394753,2412.800049,6.03,10.3,125k - 150k
394653,2412.800049,6.03,10.3,125k - 150k
394952,2412.800049,6.03,10.3,450k - 500k
394318,2412.800049,6.03,10.3,175k - 200k
394561,2412.800049,6.03,10.3,125k - 150k
394367,2412.800049,6.03,10.3,150k - 175k
394521,2412.800049,6.03,10.3,125k - 150k
394486,2412.800049,6.03,10.3,125k - 150k
394648,2412.800049,6.03,10.3,125k - 150k
394304,2412.800049,6.03,10.3,100k - 125k
753906,2412.800049,6.03,10.3,225k - 250k
394798,2412.800049,6.03,10.3,125k - 150k
395134,2412.800049,6.03,10.3,275k - 300k
394457,2412.800049,6.03,10.3,200k - 225k
395143,2412.800049,6.03,10.3,100k - 125k
394484,2412.800049,6.03,10.3,200k - 225k
395235,2412.800049,6.03,10.3,125k - 150k
395224,2412.800049,6.03,10.3,100k - 125k
395115,2412.800049,6.03,10.3,175k - 200k
394440,2412.800049,6.03,10.3,175k - 200k
394399,2412.800049,6.03,10.3,175k - 200k
395160,2412.800049,6.03,10.3,125k - 150k
394816,2412.800049,6.03,10.3,175k - 200k
394766,2412.800049,6.03,10.3,150k - 175k
394931,2412.800049,6.03,10.3,175k - 200k
394528,2412.800049,6.03,10.3,175k - 200k
394531,2412.800049,6.03,10.3,150k - 175k
394711,2412.800049,6.03,10.3,125k - 150k
394352,2412.800049,6.03,10.3,100k - 125k
394666,2412.800049,6.03,10.3,150k - 175k
395006,2412.800049,6.03,10.3,200k - 225k
394549,2412.800049,6.03,10.3,175k - 200k
394995,2412.800049,6.03,10.3,175k - 200k
395183,2412.800049,6.03,10.3,300k - 350k
394746,2412.800049,6.03,10.3,100k - 125k
395048,2412.800049,6.03,10.3,175k - 200k
394927,2412.800049,6.03,10.3,150k - 175k
394602,2412.800049,6.03,10.3,200k - 225k
394405,2412.800049,6.03,10.3,300k - 350k
394471,2412.800049,6.03,10.3,100k - 125k
394645,2412.800049,6.03,10.3,175k - 200k
394813,2412.800049,6.03,10.3,125k - 150k
394346,2412.800049,6.03,10.3,150k - 175k
394623,2412.800049,6.03,10.3,175k - 200k
395246,2412.800049,6.03,10.3,225k - 250k
395009,2412.800049,6.03,10.3,150k - 175k
395007,2412.800049,6.03,10.3,100k - 125k
395094,2412.800049,6.03,10.3,75k - 100k
394546,2412.800049,6.03,10.3,150k - 175k
395166,2412.800049,6.03,10.3,400k - 450
395153,2412.800049,6.03,10.3,175k - 200k
394586,2412.800049,6.03,10.3,175k - 200k
394309,2412.800049,6.03,10.3,125k - 150k
394742,2412.800049,6.03,10.3,150k - 175k
395091,2412.800049,6.03,10.3,75k - 100k
395230,2412.800049,6.03,10.3,100k - 125k
753899,2522.659912,6.08,10.7,450k - 500k
394463,2522.659912,6.08,10.7,225k - 250k
394514,2522.659912,6.08,10.7,150k - 175k
394974,2522.659912,6.08,10.7,225k - 250k
394692,2522.659912,6.08,10.7,150k - 175k
